cohort,event_count,valid_52w_n,rise_52w_probability,close_20_at_52w_probability,touch_20_within_52w_probability,return_52w_average_pct,mae_52w_average_pct,note
shared_exact_date,1830,1790,0.6608938547486034,0.39106145251396646,0.5798882681564246,21.508116248152017,-18.292930798305356,정확한 날짜 일치 기준의 기술통계. 같은 MACD 사이클 날짜 이동이 섞여 있어 계산법 우열의 인과판정으로 사용하지 않음.
legacy_only_exact_date,983,967,0.6752843846949328,0.37228541882109617,0.5884177869700103,19.450887578523446,-16.286136211887833,정확한 날짜 일치 기준의 기술통계. 같은 MACD 사이클 날짜 이동이 섞여 있어 계산법 우열의 인과판정으로 사용하지 않음.
kis_only_exact_date,976,967,0.7280248190279214,0.4788004136504654,0.6597724922440538,26.437606854786743,-17.39807886464656,정확한 날짜 일치 기준의 기술통계. 같은 MACD 사이클 날짜 이동이 섞여 있어 계산법 우열의 인과판정으로 사용하지 않음.
