engine,engine_label,pattern_id,pattern_name,evaluation_event_n,evaluation_ticker_n,rise_1w_valid_n,rise_1w_probability,rise_1w_ci_low,rise_1w_ci_high,return_1w_median_pct,rise_4w_valid_n,rise_4w_probability,rise_4w_ci_low,rise_4w_ci_high,return_4w_median_pct,rise_8w_valid_n,rise_8w_probability,rise_8w_ci_low,rise_8w_ci_high,return_8w_median_pct,rise_26w_valid_n,rise_26w_probability,rise_26w_ci_low,rise_26w_ci_high,return_26w_median_pct,rise_52w_valid_n,rise_52w_probability,rise_52w_ci_low,rise_52w_ci_high,return_52w_median_pct,mae_8w_median_pct,mae_52w_median_pct,close_20_at_52w_valid_n,close_20_at_52w_probability,close_20_at_52w_ci_low,close_20_at_52w_ci_high,touch_20_within_52w_valid_n,touch_20_within_52w_probability,touch_20_within_52w_ci_low,touch_20_within_52w_ci_high,weeks_to_gain_20_median_among_hits,period
investing_proxy,원형 MMRM 근사판,deep_crash_below_long_ma,대폭락·장기선 크게 아래 급반등 준비형,6,5,6,0.6666666666666666,0.299993315138392,0.9032285888942195,1.4286945553057318,6,0.3333333333333333,0.09677141110578041,0.700006684861608,-4.884008201000828,6,0.5,0.18761630648265054,0.8123836935173494,1.1117344126075401,6,1.0,0.6096657120978346,1.0,25.503835993377386,6,1.0,0.6096657120978346,1.0,45.17906880430888,-10.33787050452596,-10.752951009738844,6,0.8333333333333334,0.43649717781352987,0.9699466302516935,6,1.0,0.6096657120978346,1.0,19.5,2015-2019
investing_proxy,원형 MMRM 근사판,long_ma_cluster_discount_recovery,장기선 밀집 할인 회복형,45,32,45,0.5777777777777777,0.4330078870920313,0.710312975327297,0.5846720266847072,45,0.6888888888888889,0.5433519442263318,0.804713007363466,2.682721701880353,45,0.6888888888888889,0.5433519442263318,0.804713007363466,3.575465492111052,45,0.6222222222222222,0.47629934480889535,0.7489191532786209,7.073371413083551,45,0.6888888888888889,0.5433519442263318,0.804713007363466,8.67750598246262,-3.936872118922763,-9.197516598622268,45,0.28888888888888886,0.1773008248284927,0.43368540574761577,45,0.6,0.45451854590351387,0.7297511343499083,18.0,2015-2019
investing_proxy,원형 MMRM 근사판,long_ma_near_initial_rebound,급락 후 장기선 부근 초기 반등형,27,25,27,0.5925925925925926,0.4072670096806468,0.7548524292560443,0.9644268283923508,27,0.7777777777777778,0.5924307113336742,0.8939276054763996,2.408307982789526,27,0.7037037037037037,0.5151931703585185,0.8414695953022023,5.014043684837488,27,0.6666666666666666,0.47824760507320074,0.8135673850128435,12.266816126951284,27,0.8518518518518519,0.6752131457218702,0.9408407222375568,26.892965701054862,-4.810854576984658,-8.020321228538219,27,0.7037037037037037,0.5151931703585185,0.8414695953022023,27,0.8518518518518519,0.6752131457218702,0.9408407222375568,22.0,2015-2019
investing_proxy,원형 MMRM 근사판,long_uptrend_extended_pullback,장기 상승추세 고이격 조정형,24,18,24,0.5833333333333334,0.3883466586522876,0.7553239739018824,1.3637883019730679,24,0.6666666666666666,0.4670631683813174,0.8202780967270225,4.168413635500134,24,0.5833333333333334,0.3883466586522876,0.7553239739018824,5.279539774358611,24,0.5833333333333334,0.3883466586522876,0.7553239739018824,2.8817314062916433,24,0.6666666666666666,0.4670631683813174,0.8202780967270225,12.519899862479267,-5.519881230898016,-16.98419196264245,24,0.4166666666666667,0.24467602609811764,0.6116533413477124,24,0.625,0.42709962442674276,0.7884063244045122,18.0,2015-2019
investing_proxy,원형 MMRM 근사판,normal_pullback_recovery,완만한 조정·정상 회복형,242,82,242,0.4628099173553719,0.4010599499146483,0.5257221311617237,-0.09027067889677551,242,0.5578512396694215,0.4948589413877615,0.6190355991601042,0.5176018531923066,242,0.5537190082644629,0.4907341978045146,0.6150250184185037,1.1515824495402227,242,0.5702479338842975,0.507258944620817,0.6310415689015912,3.403558698509468,242,0.6735537190082644,0.6121636047483052,0.7295200168952918,8.597998528518769,-4.3620512063054,-11.787624604285458,242,0.32644628099173556,0.2704799831047083,0.3878363952516947,242,0.48760330578512395,0.42531441305004625,0.550279613975411,29.5,2015-2019
investing_proxy,원형 MMRM 근사판,deep_crash_below_long_ma,대폭락·장기선 크게 아래 급반등 준비형,12,12,12,0.6666666666666666,0.39062208887279953,0.8618799089087867,2.372779111287149,12,0.5,0.2537815976337061,0.7462184023662939,2.3622021781267657,12,0.8333333333333334,0.5519691377470266,0.9530348578161463,12.133569775856834,12,0.9166666666666666,0.646120088858883,0.9851349055950829,32.360529316670494,12,0.9166666666666666,0.646120088858883,0.9851349055950829,37.398484767765694,-6.012961516000276,-6.1725297527513545,12,0.5833333333333334,0.31951131254954973,0.8067396863412435,12,0.9166666666666666,0.646120088858883,0.9851349055950829,8.0,2020-2022
investing_proxy,원형 MMRM 근사판,long_ma_cluster_discount_recovery,장기선 밀집 할인 회복형,25,24,25,0.6,0.40739457358966996,0.7659669762225203,0.7324558407872939,25,0.68,0.48410269273102247,0.8279480969309202,1.759067918325985,25,0.72,0.5242339480963842,0.8571614614904344,4.511372590788909,25,0.72,0.5242339480963842,0.8571614614904344,16.748046654795235,25,0.72,0.5242339480963842,0.8571614614904344,15.666946172764408,-4.27869381137368,-8.843537188802264,25,0.44,0.2666563888106735,0.6293266813020122,25,0.68,0.48410269273102247,0.8279480969309202,15.0,2020-2022
investing_proxy,원형 MMRM 근사판,long_ma_near_initial_rebound,급락 후 장기선 부근 초기 반등형,32,28,32,0.46875,0.30869387108068835,0.6355048288102536,-1.1250802569184482,32,0.40625,0.2551963484266544,0.5773997512461713,-3.36267747788313,32,0.40625,0.2551963484266544,0.5773997512461713,-4.535336426954817,32,0.71875,0.5462549057408342,0.8443541950225723,8.238729530438382,32,0.8125,0.6469084479862404,0.9111045531043405,35.397161614394946,-12.542953695932805,-13.54336275385642,32,0.5625,0.3932559113685198,0.7183466888495963,32,0.75,0.5789344100575552,0.8674759908149096,19.0,2020-2022
investing_proxy,원형 MMRM 근사판,long_uptrend_extended_pullback,장기 상승추세 고이격 조정형,27,22,27,0.3333333333333333,0.18643261498715644,0.5217523949267991,-1.361936422295862,27,0.4074074074074074,0.24514757074395555,0.592732990319353,-0.7085583157912856,27,0.37037037037037035,0.21532512960965597,0.5577076558789761,-6.813104549970827,27,0.5185185185185185,0.33985615754952286,0.6925677302378153,5.05281698823068,27,0.7407407407407407,0.5532142868544692,0.8682962543809281,13.204967704640191,-12.323161943694728,-22.58789109367123,27,0.37037037037037035,0.21532512960965597,0.5577076558789761,27,0.5185185185185185,0.33985615754952286,0.6925677302378153,25.5,2020-2022
investing_proxy,원형 MMRM 근사판,normal_pullback_recovery,완만한 조정·정상 회복형,142,68,142,0.5563380281690141,0.47420924282303534,0.6354989302121188,0.1851128165173854,142,0.5352112676056338,0.45333200298030085,0.6152356051666704,0.4239111922548666,142,0.47183098591549294,0.39155048447383195,0.5535954290085909,-0.4426933049341275,142,0.6338028169014085,0.5520106925393097,0.7085462184191812,5.651112095351573,142,0.6690140845070423,0.5880613529918456,0.7410631661136166,12.022417143920094,-6.098485566888867,-11.288441667484822,142,0.3732394366197183,0.29801048594930757,0.4551461247215959,142,0.5,0.418852042057412,0.581147957942588,23.0,2020-2022
investing_proxy,원형 MMRM 근사판,deep_crash_below_long_ma,대폭락·장기선 크게 아래 급반등 준비형,5,4,5,0.6,0.2307242812760128,0.882379225767352,0.4285375334939001,5,0.2,0.03622410863243014,0.6244653702374747,-5.174906723135764,5,0.2,0.03622410863243014,0.6244653702374747,-8.448090550277154,5,0.8,0.37553462976252533,0.9637758913675698,8.815430760730303,4,1.0,0.5101091635454027,1.0,125.02939702532828,-17.783893125884788,-19.81585848531247,4,1.0,0.5101091635454027,1.0,4,1.0,0.5101091635454027,1.0,18.5,2023+
investing_proxy,원형 MMRM 근사판,long_ma_cluster_discount_recovery,장기선 밀집 할인 회복형,41,28,41,0.4146341463414634,0.27756549454252133,0.5663289686596986,-1.190825197048373,40,0.475,0.329354701126789,0.6250263789330753,-0.48326125027310923,40,0.5,0.35199526933465386,0.6480047306653461,0.24044217019388298,39,0.7948717948717948,0.644660319864177,0.8922028176928961,13.133583202598142,35,0.8857142857142857,0.7404853135378618,0.9546482066690264,33.98618854518034,-8.387403287928924,-10.855370179866233,35,0.6,0.435727090128925,0.7444927114061941,35,0.7714285714285715,0.6098268310800976,0.879341201658083,15.0,2023+
investing_proxy,원형 MMRM 근사판,long_ma_near_initial_rebound,급락 후 장기선 부근 초기 반등형,16,14,16,0.4375,0.23098652405492354,0.6682144360118811,-0.7821838571948792,16,0.5625,0.331785563988119,0.7690134759450765,1.8575318831638987,16,0.5,0.27999563610326017,0.7200043638967398,-0.9537777722242735,16,0.75,0.5050168346449122,0.8981793250878696,27.578450633172537,15,0.8,0.5481455128483065,0.9295245065301844,53.76271393339513,-8.066472767828248,-8.63788226521126,15,0.7333333333333333,0.4804956594401943,0.8910254667430761,15,0.8,0.5481455128483065,0.9295245065301844,12.5,2023+
investing_proxy,원형 MMRM 근사판,long_uptrend_extended_pullback,장기 상승추세 고이격 조정형,29,23,29,0.41379310344827586,0.255131773413224,0.5926216401212141,-1.5081358636337527,27,0.6296296296296297,0.4422923441210239,0.784674870390344,4.235531250820257,25,0.52,0.3349851695035678,0.6996871404588704,4.532313565908885,21,0.6666666666666666,0.4537345197425524,0.8280524739491653,18.638187864165022,20,0.8,0.5839825677481064,0.919342337420202,62.52152160229806,-7.144787750020065,-19.15406621403929,20,0.7,0.4810271816464765,0.8545227551323956,20,0.9,0.6989663547715128,0.9721335187862319,13.0,2023+
investing_proxy,원형 MMRM 근사판,normal_pullback_recovery,완만한 조정·정상 회복형,166,67,164,0.524390243902439,0.44827705033604764,0.5993869777069072,0.26696465448412526,158,0.5886075949367089,0.5106621416271118,0.6623466794996276,2.3688148508907214,156,0.5641025641025641,0.48567342562460863,0.6394505575244407,1.652613818626869,143,0.7062937062937062,0.627032516187624,0.7747613673234626,7.031135727422955,127,0.7559055118110236,0.6744079798569265,0.8223764536541396,14.244224143116655,-5.22727664971891,-10.635571482125206,127,0.41732283464566927,0.3352214236149853,0.5042789901737472,127,0.6220472440944882,0.5353049541396186,0.7016230064579667,27.0,2023+
